technique_id,technique_name,class,n_reports,sections,instances,evidence,verdict (correct/incorrect/unsure),notes
T1496,Resource Hijacking,judge-flagged,1,Fake Zoom Ends in BlackSuit Ransomware > Command and Control,1,legitimate infrastructure,,
T1021.001,Remote Desktop Protocol,judge-flagged,9,Fake Zoom Ends in BlackSuit Ransomware > Case Summary | Fake Zoom Ends in BlackSuit Ransomware > Collection | Fake Zoom Ends in BlackSuit Ransomware > Key Takeaways,4,On the file server via a RDP session,,
T1090.002,External Proxy,report-specific (3/10),3,Fake Zoom Ends in BlackSuit Ransomware > Command and Control,1,proxy used by the threat actor,,
T1557,Adversary-in-the-Middle,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1027.015,Compression,judge-flagged,4,Fake Zoom Ends in BlackSuit Ransomware > Case Summary | Fake Zoom Ends in BlackSuit Ransomware > Execution | Fake Zoom Ends in BlackSuit Ransomware > Impact | Fake Zoom Ends in BlackSuit Ransomware > Timeline Indicators > Atomic,5,fetch two ZIP,,
T1572,Protocol Tunneling,report-specific (3/10),3,Fake Zoom Ends in BlackSuit Ransomware > Command and Control,1,tunneled RDP sessions,,
T1218,System Binary Proxy Execution,detection-sourced,9,Fake Zoom Ends in BlackSuit Ransomware > Detections > Yara,1,Windows_Trojan_BruteRatel_5b12cbab,,
T1003,OS Credential Dumping,corpus-common (8/10),8,Fake Zoom Ends in BlackSuit Ransomware > Credential Access,1,attempt to perform credential dumping,,
T1608.001,Upload Malware,corpus-common (7/10),7,Fake Zoom Ends in BlackSuit Ransomware > Key Takeaways,1,upload them,,
T1127.001,MSBuild,report-specific (2/10),2,Fake Zoom Ends in BlackSuit Ransomware > Case Summary | Fake Zoom Ends in BlackSuit Ransomware > Defense Evasion | Fake Zoom Ends in BlackSuit Ransomware > Execution,3,MSBuild.exe,,
T1098,Account Manipulation,promoted-parent,5,,0,(parent promoted from mapped sub-techniques),,
T1018,Remote System Discovery,report-specific (4/10),4,Fake Zoom Ends in BlackSuit Ransomware > Discovery,1,ping <workstation1>,,
T1037,Boot or Logon Initialization Scripts,promoted-parent,3,,0,(parent promoted from mapped sub-techniques),,
T1566.002,Spearphishing Link,judge-flagged,1,Fake Zoom Ends in BlackSuit Ransomware > Initial Access,1,cloned webpage,,
T1564.001,Hidden Files and Directories,report-specific (1/10),1,Fake Zoom Ends in BlackSuit Ransomware > Defense Evasion,1,change the attributes,,
T1526,Cloud Service Discovery,detection-sourced,1,Fake Zoom Ends in BlackSuit Ransomware > Timeline Indicators > Atomic,1,provincial-gaiters-gw.aws-use1.cloud-ara.tyk.io:443,,
T1027.008,Stripped Payloads,detection-sourced,2,Fake Zoom Ends in BlackSuit Ransomware > Detections > Yara,2,CobaltStrike_Resources_Command_Ps1_v2_5_to_v3_7_and_Resources_Compress_Ps1_v3_8_to_V4_x,,
T1564,Hide Artifacts,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1036.012,Browser Fingerprint,report-specific (3/10),3,Fake Zoom Ends in BlackSuit Ransomware > Command and Control,1,Mozilla/5.0 (Windows NT 10.0; Win64; x64),,
T1055,Process Injection,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1546,Event Triggered Execution,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1567,Exfiltration Over Web Service,promoted-parent,2,,0,(parent promoted from mapped sub-techniques),,
T1557.001,Name Resolution Poisoning and SMB Relay,detection-sourced,6,Fake Zoom Ends in BlackSuit Ransomware > Timeline Indicators > Computed,1,relay.dll,,
T1574,Hijack Execution Flow,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1098.007,Additional Local or Domain Groups,report-specific (4/10),4,Fake Zoom Ends in BlackSuit Ransomware > Discovery,1,"net group ""domain admins""",,
T1563.002,RDP Hijacking,judge-flagged,6,Fake Zoom Ends in BlackSuit Ransomware > Lateral Movement,1,leaked their back end hostname,,
T1547,Boot or Logon Autostart Execution,promoted-parent,5,,0,(parent promoted from mapped sub-techniques),,
T1569,System Services,promoted-parent,2,,0,(parent promoted from mapped sub-techniques),,
T1608.005,Link Target,report-specific (2/10),2,Fake Zoom Ends in BlackSuit Ransomware > Initial Access,1,"loadlink(), which triggers",,
T1127,Trusted Developer Utilities Proxy Execution,promoted-parent,3,,0,(parent promoted from mapped sub-techniques),,
T1176.001,Browser Extensions,report-specific (1/10),1,Fake Zoom Ends in BlackSuit Ransomware > Collection,1,Here we used Dissect’s Edge browser plugin,,
T1059,Command and Scripting Interpreter,promoted-parent,10,,0,(parent promoted from mapped sub-techniques),,
T1546.010,AppInit DLLs,detection-sourced,1,Fake Zoom Ends in BlackSuit Ransomware > Timeline Indicators > Computed,1,svhost.exe,,
T1566,Phishing,promoted-parent,1,,0,(parent promoted from mapped sub-techniques),,
T1674,Input Injection,detection-sourced,1,Fake Zoom Ends in BlackSuit Ransomware > Timeline Indicators > Computed,1,artillery.mdb,,
T1560.001,Archive via Utility,report-specific (3/10),3,Fake Zoom Ends in BlackSuit Ransomware > Case Summary | Fake Zoom Ends in BlackSuit Ransomware > Collection | Fake Zoom Ends in BlackSuit Ransomware > Execution | Fake Zoom Ends in BlackSuit Ransomware > Impact,6,Inno Download Plugin,,
T1486,Data Encrypted for Impact,corpus-common (8/10),8,Fake Zoom Ends in BlackSuit Ransomware > Case Summary | Fake Zoom Ends in BlackSuit Ransomware > Impact,2,encrypted the local files,,
T1485,Data Destruction,judge-flagged,1,Fake Zoom Ends in BlackSuit Ransomware,1,ends in BlackSuit ransomware,,
T1563,Remote Service Session Hijacking,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1027,Obfuscated Files or Information,promoted-parent,7,,0,(parent promoted from mapped sub-techniques),,
T1574.001,DLL,detection-sourced,5,Fake Zoom Ends in BlackSuit Ransomware > Timeline Indicators > Computed,2,UIxMarketPlugin.dll,,
T1090,Proxy,report-specific (5/10),5,Fake Zoom Ends in BlackSuit Ransomware > Case Summary,1,proxy tool,,
T1587.001,Malware,report-specific (3/10),3,Fake Zoom Ends in BlackSuit Ransomware > Key Takeaways,1,d3f@ckloader,,
T1560,Archive Collected Data,promoted-parent,3,,0,(parent promoted from mapped sub-techniques),,
T1036,Masquerading,promoted-parent,8,,0,(parent promoted from mapped sub-techniques),,
T1105,Ingress Tool Transfer,corpus-common (6/10),6,Fake Zoom Ends in BlackSuit Ransomware > Case Summary,1,using PsExec,,
T1482,Domain Trust Discovery,corpus-common (6/10),6,Fake Zoom Ends in BlackSuit Ransomware > Discovery,1,nltest /domain_trusts,,
