technique_id,technique_name,class,n_reports,sections,instances,evidence,verdict (correct/incorrect/unsure),notes
T1574.001,DLL,judge-flagged,5,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Diamond Model Indicators > File | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Execution | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Persistence,4,spider.dll,,
T1003.003,NTDS,report-specific (2/10),2,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Credential Access,1,NTDS.dit via vssadmin,,
T1136,Create Account,report-specific (4/10),4,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Persistence,1,user creation,,
T1219,Remote Access Tools,promoted-parent,4,,0,(parent promoted from mapped sub-techniques),,
T1570,Lateral Tool Transfer,report-specific (2/10),2,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Lateral Movement,1,file transfer has been initiated,,
T1546,Event Triggered Execution,judge-flagged,6,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Execution,1,pipe creation event,,
T1673,Virtual Machine Discovery,report-specific (1/10),1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Impact,1,Get-VM,,
T1068,Exploitation for Privilege Escalation,report-specific (3/10),3,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Case Summary | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Privilege Escalation,3,exploit the Zerologon vulnerability,,
T1095,Non-Application Layer Protocol,report-specific (1/10),1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Command and Control,1,raw TCP sockets,,
T1040,Network Sniffing,judge-flagged,4,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Discovery,1,netscan file ‘delete[.]me’,,
T1047,Windows Management Instrumentation,corpus-common (6/10),6,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Lateral Movement,1,wmiexec.exe,,
T1574,Hijack Execution Flow,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1059.001,PowerShell,corpus-common (6/10),6,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Impact | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Persistence,3,powershell.exe with the -ExecutionPolicy Bypass flag,,
T1219.002,Remote Desktop Software,report-specific (2/10),2,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Command and Control,2,AnyDesk,,
T1657,Financial Theft,judge-flagged,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware,1,ELPACO-team Ransomware,,
T1210,Exploitation of Remote Services,judge-flagged,7,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Case Summary | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Detections > Network | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Discovery | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Initial Access,5,exploit Zerologon,,
T1218.010,Regsvr32,judge-flagged,2,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Persistence,1,dll being executed using rundll32,,
T1003,OS Credential Dumping,corpus-common (8/10),8,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Credential Access,1,view the Mimikatz output file,,
T1011,Exfiltration Over Other Network Medium,report-specific (2/10),2,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Command and Control,1,exfiltrate data,,
T1564,Hide Artifacts,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1003.004,LSA Secrets,report-specific (1/10),1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Credential Access,1,LSA Secrets,,
T1069,Permission Groups Discovery,promoted-parent,2,,0,(parent promoted from mapped sub-techniques),,
T1547.008,LSASS Driver,judge-flagged,3,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Credential Access,1,different user account,,
T1685,Disable or Modify Tools,report-specific (4/10),4,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Defense Evasion,1,Defender Control,,
T1098.007,Additional Local or Domain Groups,report-specific (4/10),4,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Lateral Movement | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Persistence,2,add the user to the admin,,
T1547,Boot or Logon Autostart Execution,promoted-parent,5,,0,(parent promoted from mapped sub-techniques),,
T1021,Remote Services,promoted-parent,9,,0,(parent promoted from mapped sub-techniques),,
T1059.003,Windows Command Shell,corpus-common (6/10),6,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Credential Access | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Diamond Model Indicators > File,3,processhacker-2.exe,,
T1546.009,AppCert DLLs,judge-flagged,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Execution,1,u1.bat,,
T1021.002,SMB/Windows Admin Shares,judge-flagged,4,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Discovery,1,SMB access (read/write),,
T1499,Endpoint Denial of Service,promoted-parent,1,,0,(parent promoted from mapped sub-techniques),,
T1218,System Binary Proxy Execution,promoted-parent,9,,0,(parent promoted from mapped sub-techniques),,
T1547.004,Winlogon Helper DLL,judge-flagged,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Privilege Escalation,1,tool named zero.exe,,
T1547.001,Registry Run Keys / Startup Folder,report-specific (2/10),2,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Impact,1,Registry run key,,
T1078,Valid Accounts,corpus-common (8/10),8,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Credential Access,1,logged-on domain user account,,
T1070,Indicator Removal,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1134,Access Token Manipulation,promoted-parent,4,,0,(parent promoted from mapped sub-techniques),,
T1595,Active Scanning,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1059,Command and Scripting Interpreter,promoted-parent,10,,0,(parent promoted from mapped sub-techniques),,
T1036.007,Double File Extension,judge-flagged,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Credential Access,1,sessionresume_,,
