technique_id,technique_name,class,n_reports,sections,instances,evidence,verdict (correct/incorrect/unsure),notes
T1219,Remote Access Tools,promoted-parent,4,,0,(parent promoted from mapped sub-techniques),,
T1078,Valid Accounts,corpus-common (8/10),8,Cat’s Got Your Files: Lynx Ransomware > Case Summary | Cat’s Got Your Files: Lynx Ransomware > Credential Access | Cat’s Got Your Files: Lynx Ransomware > Initial Access | Cat’s Got Your Files: Lynx Ransomware > Lateral Movement,6,valid credentials,,
T1588.002,Tool,report-specific (1/10),1,Cat’s Got Your Files: Lynx Ransomware > Discovery > Netscan,2,purchased this license,,
T1012,Query Registry,judge-flagged,1,Cat’s Got Your Files: Lynx Ransomware > Discovery > Netscan,1,queried the registry,,
T1484.001,Group Policy Modification,report-specific (1/10),1,Cat’s Got Your Files: Lynx Ransomware > Privilege Escalation,1,Group Policy Creator Owners,,
T1110,Brute Force,promoted-parent,5,,0,(parent promoted from mapped sub-techniques),,
T1490,Inhibit System Recovery,judge-flagged,2,Cat’s Got Your Files: Lynx Ransomware > Impact,1,removed backups,,
T1039,Data from Network Shared Drive,judge-flagged,3,Cat’s Got Your Files: Lynx Ransomware > Case Summary | Cat’s Got Your Files: Lynx Ransomware > Collection | Cat’s Got Your Files: Lynx Ransomware > Key Takeaways,3,network shares,,
T1080,Taint Shared Content,detection-sourced,3,Cat’s Got Your Files: Lynx Ransomware > Detections,2,Suspicious ADS File,,
T1590.005,IP Addresses,judge-flagged,2,Cat’s Got Your Files: Lynx Ransomware > Case Summary,1,associated with Railnet LLC,,
T1218,System Binary Proxy Execution,detection-sourced,9,Cat’s Got Your Files: Lynx Ransomware > Detections,1,Suspicious ADS File,,
T1588,Obtain Capabilities,report-specific (3/10),3,Cat’s Got Your Files: Lynx Ransomware > Discovery > Netscan,1,buy SoftPerfect,,
T1018,Remote System Discovery,report-specific (4/10),4,Cat’s Got Your Files: Lynx Ransomware > Discovery | Cat’s Got Your Files: Lynx Ransomware > Discovery > Netscan,2,ping ​REDACTED,,
T1190,Exploit Public-Facing Application,judge-flagged,7,Cat’s Got Your Files: Lynx Ransomware > Case Summary,1,the threat actor returned via RDP from a new source IP address,,
T1518,Software Discovery,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1654,Log Enumeration,judge-flagged,2,Cat’s Got Your Files: Lynx Ransomware > Discovery > Netscan,1,queried the registry on the beachhead host,,
T1486,Data Encrypted for Impact,corpus-common (8/10),8,Cat’s Got Your Files: Lynx Ransomware > Case Summary,1,deployed and executed Lynx ransomware,,
T1564,Hide Artifacts,judge-flagged,6,Cat’s Got Your Files: Lynx Ransomware > Defense Evasion,1,obscure their activity,,
T1098.007,Additional Local or Domain Groups,judge-flagged,4,Cat’s Got Your Files: Lynx Ransomware > Case Summary | Cat’s Got Your Files: Lynx Ransomware > Detections | Cat’s Got Your Files: Lynx Ransomware > Privilege Escalation,5,added them to several high-privilege domain groups,,
T1021.001,Remote Desktop Protocol,judge-flagged,9,Cat’s Got Your Files: Lynx Ransomware > Case Summary | Cat’s Got Your Files: Lynx Ransomware > Command and Control | Cat’s Got Your Files: Lynx Ransomware > Detections | Cat’s Got Your Files: Lynx Ransomware > Discovery > Netscan,21,moved laterally to it via RDP,,
T1098,Account Manipulation,promoted-parent,5,,0,(parent promoted from mapped sub-techniques),,
T1082,System Information Discovery,judge-flagged,2,Cat’s Got Your Files: Lynx Ransomware > Discovery > Netscan,1,systeminfo,,
T1563.002,RDP Hijacking,judge-flagged,6,Cat’s Got Your Files: Lynx Ransomware > Case Summary | Cat’s Got Your Files: Lynx Ransomware > Diamond Model Indicators | Cat’s Got Your Files: Lynx Ransomware > Discovery > Netscan | Cat’s Got Your Files: Lynx Ransomware > Execution,8,RDP Initial Access,,
T1059.008,Network Device CLI,judge-flagged,1,Cat’s Got Your Files: Lynx Ransomware > Discovery > Netscan,1,network discovery,,
T1048,Exfiltration Over Alternative Protocol,corpus-common (6/10),6,Cat’s Got Your Files: Lynx Ransomware > Exfiltration,1,upload feature,,
T1608,Stage Capabilities,promoted-parent,8,,0,(parent promoted from mapped sub-techniques),,
T1021,Remote Services,corpus-common (9/10),9,Cat’s Got Your Files: Lynx Ransomware > Credential Access | Cat’s Got Your Files: Lynx Ransomware > Lateral Movement,2,Remote Desktop Protocol,,
T1484,Domain or Tenant Policy Modification,promoted-parent,1,,0,(parent promoted from mapped sub-techniques),,
T1219.002,Remote Desktop Software,judge-flagged,2,Cat’s Got Your Files: Lynx Ransomware > Discovery > Netscan,1,Netscan was used,,
