technique_id,technique_name,class,n_reports,sections,instances,evidence,verdict (correct/incorrect/unsure),notes
T1518,Software Discovery,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1568,Dynamic Resolution,promoted-parent,3,,0,(parent promoted from mapped sub-techniques),,
T1557.001,Name Resolution Poisoning and SMB Relay,judge-flagged,6,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Diamond Model Indicators > Atomic | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Discovery | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Initial Access,3,Reverse SSH Tunnel,,
T1546,Event Triggered Execution,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1574,Hijack Execution Flow,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1572,Protocol Tunneling,report-specific (3/10),3,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Case Summary | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Lateral Movement | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Persistence > Swisscom,3,reverse SSH tunnel,,
T1649,Steal or Forge Authentication Certificates,report-specific (1/10),1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Collection,1,Users\Administrator\AppData\Roaming\Microsoft\SystemCertificates\My\Certificates\,,
T1087.001,Local Account,judge-flagged,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > MITRE ATT&CK,2,local system accounts,,
T1574.011,Services Registry Permissions Weakness,report-specific (1/10),1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Defense Evasion > Swisscom,1,registered them as new system services,,
T1048,Exfiltration Over Alternative Protocol,corpus-common (6/10),6,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Exfiltration,2,SSH Exfiltration Sessions,,
T1003,OS Credential Dumping,promoted-parent,8,,0,(parent promoted from mapped sub-techniques),,
T1078.001,Default Accounts,judge-flagged,5,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Case Summary | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Command and Control | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Discovery,3,dump and decrypt Veeam,,
T1555.004,Windows Credential Manager,report-specific (2/10),2,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Collection,1,Users\Administrator\AppData\Local\Microsoft\Credentials\,,
T1027,Obfuscated Files or Information,promoted-parent,7,,0,(parent promoted from mapped sub-techniques),,
T1583.008,Malvertising,report-specific (2/10),2,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Initial Access,2,malvertising domains,,
T1216,System Script Proxy Execution,promoted-parent,1,,0,(parent promoted from mapped sub-techniques),,
T1055.001,Dynamic-link Library Injection,corpus-common (6/10),6,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Defense Evasion,2,inject the Adaptix shellcode,,
T1071,Application Layer Protocol,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1216.001,PubPrn,judge-flagged,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Discovery,1,run the same SPN enumeration script,,
T1543.003,Windows Service,report-specific (2/10),2,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > MITRE ATT&CK,2,Windows services,,
T1119,Automated Collection,report-specific (2/10),2,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Collection,1,automated scanning,,
T1134.004,Parent PID Spoofing,detection-sourced,2,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Detections > Sigma,1,cd219ff3-fa99-45d4-8380-a7d15116c6dc : New User Created Via Net.EXE,,
T1482,Domain Trust Discovery,judge-flagged,6,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Discovery,1,enumerate domain computers,,
T1595.002,Vulnerability Scanning,report-specific (3/10),3,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Discovery,1,SoftPerfect Network Scanner,,
T1574.005,Executable Installer File Permissions Weakness,report-specific (2/10),2,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Exfiltration,1,explorer.exe as the responsible process,,
T1071.004,DNS,report-specific (4/10),4,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Detections > Sigma | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Discovery,2,query and export DNS zone data,,
T1518.001,Security Software Discovery,report-specific (3/10),3,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Discovery,1,Get-ADUser,,
T1574.008,Path Interception by Search Order Hijacking,report-specific (1/10),1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Defense Evasion,1,hijack the search,,
T1574.001,DLL,report-specific (5/10),5,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Credential Access > Remote LSASS Memory Dump | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Defense Evasion | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Diamond Model Indicators > Computed | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Execution,6,DLL,,
T1036,Masquerading,promoted-parent,8,,0,(parent promoted from mapped sub-techniques),,
T1218,System Binary Proxy Execution,promoted-parent,9,,0,(parent promoted from mapped sub-techniques),,
T1682,Query Public AI Services,judge-flagged,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > The DFIR Report Offerings,1,Bing Search,,
T1059,Command and Scripting Interpreter,promoted-parent,10,,0,(parent promoted from mapped sub-techniques),,
T1204.002,Malicious File,report-specific (4/10),4,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > MITRE ATT&CK,2,malicious file,,
T1057,Process Discovery,judge-flagged,6,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Detections > Sigma | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Discovery,2,0ef56343-059e-4cb6-adc1-4c3c967c5e46 : Suspicious Execution of Systeminfo,,
