report,date,tactic,technique_id,technique_name,level,also_valid_under,source
Confluence Exploit Leads to LockBit Ransomware,2025-02-24,Initial Access,T1190,Exploit Public-Facing Application,technique,,report
Confluence Exploit Leads to LockBit Ransomware,2025-02-24,Execution,T1059.001,PowerShell,sub-technique,,report
Confluence Exploit Leads to LockBit Ransomware,2025-02-24,Execution,T1059.003,Windows Command Shell,sub-technique,,report
Confluence Exploit Leads to LockBit Ransomware,2025-02-24,Execution,T1072,Software Deployment Tools,technique,Lateral Movement,report
Confluence Exploit Leads to LockBit Ransomware,2025-02-24,Persistence,T1078.003,Local Accounts,sub-technique,"Stealth, Privilege Escalation, Initial Access",sheet only
Confluence Exploit Leads to LockBit Ransomware,2025-02-24,Persistence,T1136,Create Account,technique,,report
Confluence Exploit Leads to LockBit Ransomware,2025-02-24,Persistence,T1543.003,Windows Service,sub-technique,Privilege Escalation,report
Confluence Exploit Leads to LockBit Ransomware,2025-02-24,Stealth,T1218.005,Mshta,sub-technique,,report
Confluence Exploit Leads to LockBit Ransomware,2025-02-24,Defense Impairment,T1685.005,Clear Windows Event Logs,sub-technique,,report
Confluence Exploit Leads to LockBit Ransomware,2025-02-24,Credential Access,T1003.001,LSASS Memory,sub-technique,,report
Confluence Exploit Leads to LockBit Ransomware,2025-02-24,Credential Access,T1552.001,Credentials In Files,sub-technique,,report
Confluence Exploit Leads to LockBit Ransomware,2025-02-24,Discovery,T1016,System Network Configuration Discovery,technique,,report
Confluence Exploit Leads to LockBit Ransomware,2025-02-24,Discovery,T1018,Remote System Discovery,technique,,report
Confluence Exploit Leads to LockBit Ransomware,2025-02-24,Discovery,T1033,System Owner/User Discovery,technique,,report
Confluence Exploit Leads to LockBit Ransomware,2025-02-24,Discovery,T1046,Network Service Discovery,technique,,report
Confluence Exploit Leads to LockBit Ransomware,2025-02-24,Discovery,T1057,Process Discovery,technique,,report
Confluence Exploit Leads to LockBit Ransomware,2025-02-24,Lateral Movement,T1021.001,Remote Desktop Protocol,sub-technique,,report
Confluence Exploit Leads to LockBit Ransomware,2025-02-24,Command and Control,T1105,Ingress Tool Transfer,technique,,report
Confluence Exploit Leads to LockBit Ransomware,2025-02-24,Command and Control,T1219,Remote Access Tools,technique,,report
Confluence Exploit Leads to LockBit Ransomware,2025-02-24,Exfiltration,T1567.002,Exfiltration to Cloud Storage,sub-technique,,report
Confluence Exploit Leads to LockBit Ransomware,2025-02-24,Impact,T1486,Data Encrypted for Impact,technique,,report
Fake Zoom Ends in Blacksuit Ransomware,2025-03-31,Initial Access,T1189,Drive-by Compromise,technique,,report
Fake Zoom Ends in Blacksuit Ransomware,2025-03-31,Execution,T1047,Windows Management Instrumentation,technique,,report
