report,technique_id,technique_name,score,flagged,instances,sections,best_evidence
dfir-2025-02-24-confluence-exploit-leads-to-lockbit-ransomware,T1021,Remote Services,100,0,2,Confluence Exploit Leads to LockBit Ransomware > Case Summary,accessed the beachhead host via rdp
dfir-2025-02-24-confluence-exploit-leads-to-lockbit-ransomware,T1021.001,Remote Desktop Protocol,100,0,9,Confluence Exploit Leads to LockBit Ransomware > Case Summary | Confluence Exploit Leads to LockBit Ransomware > Credential Access | Confluence Exploit Leads to LockBit Ransomware > Defense Evasion | Confluence Exploit Leads to LockBit Ransomware > Impact,accessed the beachhead host via rdp
dfir-2025-02-24-confluence-exploit-leads-to-lockbit-ransomware,T1021.004,SSH,100,0,1,Confluence Exploit Leads to LockBit Ransomware > Detections > Sigma,Use of Rclone to exfiltrate data over an SSH
dfir-2025-02-24-confluence-exploit-leads-to-lockbit-ransomware,T1027.015,Compression,100,0,1,Confluence Exploit Leads to LockBit Ransomware > Execution,Gzip decompress
dfir-2025-02-24-confluence-exploit-leads-to-lockbit-ransomware,T1047,Windows Management Instrumentation,100,0,1,Confluence Exploit Leads to LockBit Ransomware > Detections > Sigma,WMI Module Loaded
dfir-2025-02-24-confluence-exploit-leads-to-lockbit-ransomware,T1055,,100,0,0,,
dfir-2025-02-24-confluence-exploit-leads-to-lockbit-ransomware,T1055.001,Dynamic-link Library Injection,100,0,1,Confluence Exploit Leads to LockBit Ransomware > Execution,VirtualAlloc()
dfir-2025-02-24-confluence-exploit-leads-to-lockbit-ransomware,T1057,Process Discovery,100,0,2,Confluence Exploit Leads to LockBit Ransomware > Case Summary | Confluence Exploit Leads to LockBit Ransomware > Discovery,query user
dfir-2025-02-24-confluence-exploit-leads-to-lockbit-ransomware,T1059.001,PowerShell,100,0,5,Confluence Exploit Leads to LockBit Ransomware > Detections > Network | Confluence Exploit Leads to LockBit Ransomware > Detections > Sigma | Confluence Exploit Leads to LockBit Ransomware > Persistence,powershell -c (New-Object Net.WebClient)
dfir-2025-02-24-confluence-exploit-leads-to-lockbit-ransomware,T1078.001,Default Accounts,100,1,3,Confluence Exploit Leads to LockBit Ransomware > Case Summary,created a new local account
dfir-2025-02-24-confluence-exploit-leads-to-lockbit-ransomware,T1190,Exploit Public-Facing Application,100,1,7,Confluence Exploit Leads to LockBit Ransomware | Confluence Exploit Leads to LockBit Ransomware > Case Summary | Confluence Exploit Leads to LockBit Ransomware > Command and Control | Confluence Exploit Leads to LockBit Ransomware > Detections > Network,Confluence Exploit
dfir-2025-02-24-confluence-exploit-leads-to-lockbit-ransomware,T1210,Exploitation of Remote Services,100,1,3,Confluence Exploit Leads to LockBit Ransomware > Case Summary | Confluence Exploit Leads to LockBit Ransomware > Diamond Model Indicators > Atomic | Confluence Exploit Leads to LockBit Ransomware > Initial Access,Confluence Exploit
dfir-2025-02-24-confluence-exploit-leads-to-lockbit-ransomware,T1218,,100,0,0,,
dfir-2025-02-24-confluence-exploit-leads-to-lockbit-ransomware,T1218.005,Mshta,100,0,3,Confluence Exploit Leads to LockBit Ransomware > Case Summary | Confluence Exploit Leads to LockBit Ransomware > Execution,mshta http
dfir-2025-02-24-confluence-exploit-leads-to-lockbit-ransomware,T1489,Service Stop,100,0,2,Confluence Exploit Leads to LockBit Ransomware > Case Summary | Confluence Exploit Leads to LockBit Ransomware > Impact,stopped key services
dfir-2025-02-24-confluence-exploit-leads-to-lockbit-ransomware,T1552,,100,0,0,,
dfir-2025-02-24-confluence-exploit-leads-to-lockbit-ransomware,T1552.001,Credentials In Files,100,0,1,Confluence Exploit Leads to LockBit Ransomware > MITRE ATT&CK,Credentials In Files
dfir-2025-02-24-confluence-exploit-leads-to-lockbit-ransomware,T1587,,100,0,0,,
dfir-2025-02-24-confluence-exploit-leads-to-lockbit-ransomware,T1587.004,Exploits,100,0,2,Confluence Exploit Leads to LockBit Ransomware > Analysts | Confluence Exploit Leads to LockBit Ransomware > Initial Access,Confluence Exploit
dfir-2025-02-24-confluence-exploit-leads-to-lockbit-ransomware,T1608,,100,0,0,,
dfir-2025-02-24-confluence-exploit-leads-to-lockbit-ransomware,T1608.001,Upload Malware,100,0,2,Confluence Exploit Leads to LockBit Ransomware > Case Summary,deployed a ransomware binary
dfir-2025-02-24-confluence-exploit-leads-to-lockbit-ransomware,T1059,,95,0,0,,
dfir-2025-02-24-confluence-exploit-leads-to-lockbit-ransomware,T1003.001,LSASS Memory,90,0,2,Confluence Exploit Leads to LockBit Ransomware > Credential Access | Confluence Exploit Leads to LockBit Ransomware > Diamond Model Indicators > Behavioral,Sysmon event code 10 showed that Mimikatz accessed the LSASS process
dfir-2025-02-24-confluence-exploit-leads-to-lockbit-ransomware,T1041,Exfiltration Over C2 Channel,90,0,1,Confluence Exploit Leads to LockBit Ransomware > Collection,Rclone to exfiltrate everything
dfir-2025-02-24-confluence-exploit-leads-to-lockbit-ransomware,T1059.003,Windows Command Shell,90,1,2,Confluence Exploit Leads to LockBit Ransomware > Diamond Model Indicators > Computed | Confluence Exploit Leads to LockBit Ransomware > Impact,We were able collect
dfir-2025-02-24-confluence-exploit-leads-to-lockbit-ransomware,T1078,Valid Accounts,90,0,1,Confluence Exploit Leads to LockBit Ransomware > Privilege Escalation,an easily crackable hash
dfir-2025-02-24-confluence-exploit-leads-to-lockbit-ransomware,T1098,,90,0,0,,
