report,technique_id,technique_name,confidence,flagged,chunk_id,heading_path,evidence,reason
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1485,Data Destruction,20,1,731dd5d1-e710-47c7-a4dd-b7d084e0363a:0,Fake Zoom Ends in BlackSuit Ransomware,ends in BlackSuit ransomware,"The excerpt states that the attack ends in ransomware, implying data destruction."
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1021.001,Remote Desktop Protocol,20,1,731dd5d1-e710-47c7-a4dd-b7d084e0363a:1,Fake Zoom Ends in BlackSuit Ransomware > Key Takeaways,QDoor,The threat actor employed a malware with proxy capabilities known as QDoor.
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1210,Exploitation of Remote Services,90,0,731dd5d1-e710-47c7-a4dd-b7d084e0363a:1,Fake Zoom Ends in BlackSuit Ransomware > Key Takeaways,remote services,Lateral movement was achieved using various remote services and later RDP.
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1587.001,Malware,95,0,731dd5d1-e710-47c7-a4dd-b7d084e0363a:1,Fake Zoom Ends in BlackSuit Ransomware > Key Takeaways,d3f@ckloader,The threat actor gained initial access by a fake Zoom installer that used d3f@ckloader and IDAT loader to drop SectopRAT.
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1608.001,Upload Malware,85,0,731dd5d1-e710-47c7-a4dd-b7d084e0363a:1,Fake Zoom Ends in BlackSuit Ransomware > Key Takeaways,upload them,The threat actor used WinRAR to archive various files and then upload them to a cloud SaaS application named Bublup.
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1027.015,Compression,20,1,731dd5d1-e710-47c7-a4dd-b7d084e0363a:3,Fake Zoom Ends in BlackSuit Ransomware > Case Summary,two archive files were downloaded,The excerpt mentions two archive files being downloaded and extracted.
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1027.015,Compression,20,1,731dd5d1-e710-47c7-a4dd-b7d084e0363a:4,Fake Zoom Ends in BlackSuit Ransomware > Case Summary,Two archive files were downloaded,The excerpt mentions two archive files being downloaded and extracted.
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1127.001,MSBuild,90,0,731dd5d1-e710-47c7-a4dd-b7d084e0363a:4,Fake Zoom Ends in BlackSuit Ransomware > Case Summary,MSbuild.exe process called out,The excerpt explicitly states that the MSBuild.exe process was used to inject SectopRAT.
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1090,Proxy,100,0,731dd5d1-e710-47c7-a4dd-b7d084e0363a:5,Fake Zoom Ends in BlackSuit Ransomware > Case Summary,proxy tool,The excerpt explicitly mentions using a proxy tool called QDoor.
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1021.001,Remote Desktop Protocol,20,1,731dd5d1-e710-47c7-a4dd-b7d084e0363a:5,Fake Zoom Ends in BlackSuit Ransomware > Case Summary,connect to hosts,The excerpt describes the threat actor connecting to hosts through the domain controller via RDP.
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1560.001,Archive via Utility,90,0,731dd5d1-e710-47c7-a4dd-b7d084e0363a:5,Fake Zoom Ends in BlackSuit Ransomware > Case Summary,create an archive,The excerpt mentions using WinRAR to create an archive of targeted file shares.
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1021.001,Remote Desktop Protocol,80,0,731dd5d1-e710-47c7-a4dd-b7d084e0363a:6,Fake Zoom Ends in BlackSuit Ransomware > Case Summary,connected to the first domain controller via RDP,The excerpt explicitly states they connected to a domain controller via RDP.
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1560.001,Archive via Utility,90,0,731dd5d1-e710-47c7-a4dd-b7d084e0363a:6,Fake Zoom Ends in BlackSuit Ransomware > Case Summary,used WinRAR to create an archive,They used WinRAR to create an archive of targeted file shares.
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1486,Data Encrypted for Impact,100,0,731dd5d1-e710-47c7-a4dd-b7d084e0363a:7,Fake Zoom Ends in BlackSuit Ransomware > Case Summary,encrypted the local files,The excerpt explicitly describes data being encrypted by the ransomware.
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1105,Ingress Tool Transfer,80,0,731dd5d1-e710-47c7-a4dd-b7d084e0363a:7,Fake Zoom Ends in BlackSuit Ransomware > Case Summary,using PsExec,The excerpt mentions PsExec being used to transfer tools (the ransomware executable) from an external system into a compromised environment.
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1113,Screen Capture,20,1,731dd5d1-e710-47c7-a4dd-b7d084e0363a:8,Fake Zoom Ends in BlackSuit Ransomware > Analysts,Fake Zoom,The excerpt mentions 'Fake Zoom' which implies a social engineering tactic to trick victims into installing malware.
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1608.005,Link Target,80,0,731dd5d1-e710-47c7-a4dd-b7d084e0363a:10,Fake Zoom Ends in BlackSuit Ransomware > Initial Access,"loadlink(), which triggers",The threat actor added a script to download/dwnl.php.
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1566.002,Spearphishing Link,20,1,731dd5d1-e710-47c7-a4dd-b7d084e0363a:10,Fake Zoom Ends in BlackSuit Ransomware > Initial Access,cloned webpage,The cloned webpage was used for spearphishing with a link.
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1546.016,Installer Packages,80,0,731dd5d1-e710-47c7-a4dd-b7d084e0363a:11,Fake Zoom Ends in BlackSuit Ransomware > Execution,trojanized installer,The trojanized installer was a downloader.
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1059.003,Windows Command Shell,90,0,731dd5d1-e710-47c7-a4dd-b7d084e0363a:11,Fake Zoom Ends in BlackSuit Ransomware > Execution,batch script 21.cmd,"Upon execution, the batch script 21.cmd was launched."
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1027.015,Compression,100,0,731dd5d1-e710-47c7-a4dd-b7d084e0363a:12,Fake Zoom Ends in BlackSuit Ransomware > Execution,fetch two ZIP,The excerpt mentions fetching two ZIP files from a remote IP address.
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1560.001,Archive via Utility,100,0,731dd5d1-e710-47c7-a4dd-b7d084e0363a:12,Fake Zoom Ends in BlackSuit Ransomware > Execution,Inno Download Plugin,The excerpt describes using the Inno Download Plugin to fetch ZIP files.
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1218.010,Regsvr32,100,0,731dd5d1-e710-47c7-a4dd-b7d084e0363a:13,Fake Zoom Ends in BlackSuit Ransomware > Execution,regsvr32.exe,The excerpt explicitly mentions Regsvr32.exe being used to execute a DLL.
