report,technique_id,technique_name,score,flagged,instances,sections,best_evidence
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1021,Remote Services,100,0,1,Fake Zoom Ends in BlackSuit Ransomware > Lateral Movement,Using the proxy capability inside QDoor
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1021.001,Remote Desktop Protocol,100,1,4,Fake Zoom Ends in BlackSuit Ransomware > Case Summary | Fake Zoom Ends in BlackSuit Ransomware > Collection | Fake Zoom Ends in BlackSuit Ransomware > Key Takeaways,On the file server via a RDP session
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1027.015,Compression,100,1,5,Fake Zoom Ends in BlackSuit Ransomware > Case Summary | Fake Zoom Ends in BlackSuit Ransomware > Execution | Fake Zoom Ends in BlackSuit Ransomware > Impact | Fake Zoom Ends in BlackSuit Ransomware > Timeline Indicators > Atomic,fetch two ZIP
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1037,,100,0,0,,
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1037.005,Startup Items,100,0,1,Fake Zoom Ends in BlackSuit Ransomware > Persistence,startup entry
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1047,Windows Management Instrumentation,100,0,2,Fake Zoom Ends in BlackSuit Ransomware > Discovery | Fake Zoom Ends in BlackSuit Ransomware > MITRE ATT&CK,Windows Management Instrumentation
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1055,,100,0,0,,
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1055.001,Dynamic-link Library Injection,100,0,2,Fake Zoom Ends in BlackSuit Ransomware > Defense Evasion | Fake Zoom Ends in BlackSuit Ransomware > Execution,DLL was also
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1090,Proxy,100,0,1,Fake Zoom Ends in BlackSuit Ransomware > Case Summary,proxy tool
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1090.002,External Proxy,100,0,1,Fake Zoom Ends in BlackSuit Ransomware > Command and Control,proxy used by the threat actor
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1104,Multi-Stage Channels,100,0,1,Fake Zoom Ends in BlackSuit Ransomware > Command and Control,four separate command and control channels
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1127,,100,0,0,,
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1127.001,MSBuild,100,0,3,Fake Zoom Ends in BlackSuit Ransomware > Case Summary | Fake Zoom Ends in BlackSuit Ransomware > Defense Evasion | Fake Zoom Ends in BlackSuit Ransomware > Execution,MSBuild.exe
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1218.010,Regsvr32,100,0,1,Fake Zoom Ends in BlackSuit Ransomware > Execution,regsvr32.exe
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1486,Data Encrypted for Impact,100,0,2,Fake Zoom Ends in BlackSuit Ransomware > Case Summary | Fake Zoom Ends in BlackSuit Ransomware > Impact,encrypted the local files
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1526,Cloud Service Discovery,100,0,1,Fake Zoom Ends in BlackSuit Ransomware > Timeline Indicators > Atomic,provincial-gaiters-gw.aws-use1.cloud-ara.tyk.io:443
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1537,Transfer Data to Cloud Account,100,0,1,Fake Zoom Ends in BlackSuit Ransomware > Exfiltration,upload the rar archives
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1546.010,AppInit DLLs,100,0,1,Fake Zoom Ends in BlackSuit Ransomware > Timeline Indicators > Computed,svhost.exe
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1560,,100,0,0,,
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1560.001,Archive via Utility,100,0,6,Fake Zoom Ends in BlackSuit Ransomware > Case Summary | Fake Zoom Ends in BlackSuit Ransomware > Collection | Fake Zoom Ends in BlackSuit Ransomware > Execution | Fake Zoom Ends in BlackSuit Ransomware > Impact,Inno Download Plugin
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1564,,100,0,0,,
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1564.001,Hidden Files and Directories,100,0,1,Fake Zoom Ends in BlackSuit Ransomware > Defense Evasion,change the attributes
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1569,,100,0,0,,
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1569.002,Service Execution,100,0,1,Fake Zoom Ends in BlackSuit Ransomware > Detections > Sigma,services.exe
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1572,Protocol Tunneling,100,0,1,Fake Zoom Ends in BlackSuit Ransomware > Command and Control,tunneled RDP sessions
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1574,,100,0,0,,
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1574.001,DLL,100,0,2,Fake Zoom Ends in BlackSuit Ransomware > Timeline Indicators > Computed,UIxMarketPlugin.dll
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1587,,95,0,0,,
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1587.001,Malware,95,0,1,Fake Zoom Ends in BlackSuit Ransomware > Key Takeaways,d3f@ckloader
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1018,Remote System Discovery,90,0,1,Fake Zoom Ends in BlackSuit Ransomware > Discovery,ping <workstation1>
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1049,System Network Connections Discovery,90,0,1,Fake Zoom Ends in BlackSuit Ransomware > Discovery,net view \<IP1>/
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1059,,90,0,0,,
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1059.003,Windows Command Shell,90,0,1,Fake Zoom Ends in BlackSuit Ransomware > Execution,batch script 21.cmd
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1210,Exploitation of Remote Services,90,0,2,Fake Zoom Ends in BlackSuit Ransomware > Detections > Network | Fake Zoom Ends in BlackSuit Ransomware > Key Takeaways,remote services
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1546,,90,0,0,,
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1567,,90,0,0,,
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1567.002,Exfiltration to Cloud Storage,90,0,1,Fake Zoom Ends in BlackSuit Ransomware > Exfiltration,cloud storage service
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1608.001,Upload Malware,85,0,1,Fake Zoom Ends in BlackSuit Ransomware > Key Takeaways,upload them
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1608,,82,0,0,,
