report,technique_id,technique_name,confidence,flagged,chunk_id,heading_path,evidence,reason
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1486,Data Encrypted for Impact,20,1,307e6c2b-0c68-49d3-a719-700070ba8c31:0,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware,Falling to ELPACO-team Ransomware,The report mentions 'ELPACO-team Ransomware' which implies data encryption.
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1657,Financial Theft,20,1,307e6c2b-0c68-49d3-a719-700070ba8c31:0,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware,ELPACO-team Ransomware,The report describes the attackers as a ransomware group seeking financial gain.
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1021.001,Remote Desktop Protocol,80,0,307e6c2b-0c68-49d3-a719-700070ba8c31:1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Key Takeaways,enabling RDP,The excerpt mentions using RDP after exploiting a vulnerability.
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1190,Exploit Public-Facing Application,90,0,307e6c2b-0c68-49d3-a719-700070ba8c31:1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Key Takeaways,exploiting a known vulnerability,The excerpt explicitly states the threat actor exploited a known vulnerability on an internet-facing Confluence server.
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1070.004,File Deletion,60,0,307e6c2b-0c68-49d3-a719-700070ba8c31:1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Key Takeaways,event logs were deleted,The excerpt mentions some event logs were deleted during the intrusion.
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1190,Exploit Public-Facing Application,100,0,307e6c2b-0c68-49d3-a719-700070ba8c31:3,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Case Summary,a template injection vulnerability,The excerpt explicitly states that the Confluence server was compromised via CVE-2023-22527.
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1041,Exfiltration Over C2 Channel,80,0,307e6c2b-0c68-49d3-a719-700070ba8c31:3,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Case Summary,establish a C2 channel to,The excerpt mentions a C2 channel being established using Metasploit and Meterpreter.
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1134.001,Token Impersonation/Theft,80,0,307e6c2b-0c68-49d3-a719-700070ba8c31:4,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Case Summary,token duplication techniques,The excerpt describes the threat actor duplicating and impersonating a token.
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1068,Exploitation for Privilege Escalation,90,0,307e6c2b-0c68-49d3-a719-700070ba8c31:4,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Case Summary,RPCSS variant of named pipe impersonation,The excerpt states that the threat actor successfully escalated to SYSTEM using RPCSS named pipe impersonation.
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1136.001,Local Account,20,1,307e6c2b-0c68-49d3-a719-700070ba8c31:4,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Case Summary,creation of a local administrator account,The excerpt mentions the creation of a local administrator account ('noname').
