report,technique_id,technique_name,score,flagged,instances,sections,best_evidence
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1021.001,Remote Desktop Protocol,100,1,8,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Case Summary | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Defense Evasion | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Diamond Model Indicators > File | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Discovery,Remote Desktop Protocol (RDP)
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1036.003,Rename Legitimate Utilities,100,0,2,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Impact,renamed copy
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1047,Windows Management Instrumentation,100,0,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Lateral Movement,wmiexec.exe
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1055.001,Dynamic-link Library Injection,100,1,5,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Execution | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Initial Access | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Privilege Escalation,DLL file was dropped to disk
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1057,Process Discovery,100,0,3,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Discovery | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Execution | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Impact,PROCESS_ALL_ACCESS
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1059,,100,0,0,,
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1059.001,PowerShell,100,0,3,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Impact | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Persistence,powershell.exe with the -ExecutionPolicy Bypass flag
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1059.003,Windows Command Shell,100,0,3,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Credential Access | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Diamond Model Indicators > File,processhacker-2.exe
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1059.006,Python,100,0,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Credential Access,Python script
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1068,Exploitation for Privilege Escalation,100,0,3,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Case Summary | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Privilege Escalation,exploit the Zerologon vulnerability
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1087,Account Discovery,100,0,2,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Discovery,whoami
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1098,,100,0,0,,
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1098.007,Additional Local or Domain Groups,100,0,2,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Lateral Movement | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Persistence,add the user to the admin
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1105,Ingress Tool Transfer,100,0,7,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Case Summary | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Detections > Network | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Detections > Sigma | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Detections > Yara,file transfer has been initiated
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1112,Modify Registry,100,0,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > MITRE ATT&CK,Modify Registry
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1136.001,Local Account,100,1,3,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Case Summary | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Persistence,create a new user
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1190,Exploit Public-Facing Application,100,1,9,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Case Summary | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Command and Control | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Detections > Network | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Diamond Model Indicators > File,a template injection vulnerability
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1202,Indirect Command Execution,100,0,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Diamond Model Indicators > File,runassystem.exe
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1213,,100,0,0,,
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1213.001,Confluence,100,0,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Execution,Confluence was exploited
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1486,Data Encrypted for Impact,100,1,4,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Exfiltration | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Impact,file encryption
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1547.001,Registry Run Keys / Startup Folder,100,0,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Impact,Registry run key
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1547.012,Print Processors,100,0,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Diamond Model Indicators > File,spider.dll
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1550,,100,0,0,,
