report,technique_id,technique_name,confidence,flagged,chunk_id,heading_path,evidence,reason
dfir-2025-09-08-blurring-the-lines-intrusion-shows-connection-with-three-major-ransomw,T1021.001,Remote Desktop Protocol,80,0,7aa246b7-ea1b-4517-bc5f-02f9db40f685:1,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Key Takeaways,RDP connections,The excerpt mentions RDP connections for lateral movement.
dfir-2025-09-08-blurring-the-lines-intrusion-shows-connection-with-three-major-ransomw,T1105,Ingress Tool Transfer,90,0,7aa246b7-ea1b-4517-bc5f-02f9db40f685:1,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Key Takeaways,tools such as AdFind,The excerpt lists various tools transferred into the compromised environment.
dfir-2025-09-08-blurring-the-lines-intrusion-shows-connection-with-three-major-ransomw,T1570,Lateral Tool Transfer,95,0,7aa246b7-ea1b-4517-bc5f-02f9db40f685:1,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Key Takeaways,lateral movement was primarily accomplished through RDP connections,The excerpt describes lateral movement using RDP and Impacket's wmiexec.
dfir-2025-09-08-blurring-the-lines-intrusion-shows-connection-with-three-major-ransomw,T1204.002,Malicious File,70,0,7aa246b7-ea1b-4517-bc5f-02f9db40f685:1,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Key Takeaways,impersonating DeskSoft’s EarthTime application,The excerpt mentions a malicious file impersonating DeskSoft’s EarthTime application.
dfir-2025-09-08-blurring-the-lines-intrusion-shows-connection-with-three-major-ransomw,T1608.001,Upload Malware,20,1,7aa246b7-ea1b-4517-bc5f-02f9db40f685:2,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Key Takeaways,Grixba,The discovery of Grixba (a reconnaissance tool linked to Play ransomware) suggests malware upload.
dfir-2025-09-08-blurring-the-lines-intrusion-shows-connection-with-three-major-ransomw,T1486,Data Encrypted for Impact,20,1,7aa246b7-ea1b-4517-bc5f-02f9db40f685:2,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Key Takeaways,Betruger,The use of the Betruger backdoor implies data encryption for impact.
dfir-2025-09-08-blurring-the-lines-intrusion-shows-connection-with-three-major-ransomw,T1021.001,Remote Desktop Protocol,100,0,7aa246b7-ea1b-4517-bc5f-02f9db40f685:4,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Case Summary,accessed the beachhead,The excerpt explicitly states 'accessed the beachhead host via RDP' using a newly created local account.
dfir-2025-09-08-blurring-the-lines-intrusion-shows-connection-with-three-major-ransomw,T1078.001,Default Accounts,80,0,7aa246b7-ea1b-4517-bc5f-02f9db40f685:4,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Case Summary,new local account,The excerpt mentions creating a new local account and assigning it local administrative privileges.
dfir-2025-09-08-blurring-the-lines-intrusion-shows-connection-with-three-major-ransomw,T1003.006,DCSync,90,0,7aa246b7-ea1b-4517-bc5f-02f9db40f685:4,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Case Summary,DCSync attack,The excerpt explicitly states 'completed a DCSync attack against a domain controller.'
dfir-2025-09-08-blurring-the-lines-intrusion-shows-connection-with-three-major-ransomw,T1037,Boot or Logon Initialization Scripts,70,0,7aa246b7-ea1b-4517-bc5f-02f9db40f685:4,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Case Summary,Startup folder,"The excerpt mentions placing a shortcut in the Startup folder, configured to trigger on user logon."
