report,technique_id,technique_name,score,flagged,instances,sections,best_evidence
dfir-2025-09-08-blurring-the-lines-intrusion-shows-connection-with-three-major-ransomw,T1021,,100,0,0,,
dfir-2025-09-08-blurring-the-lines-intrusion-shows-connection-with-three-major-ransomw,T1021.001,Remote Desktop Protocol,100,0,6,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Case Summary | Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Discovery | Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Key Takeaways | Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Lateral Movement,accessed the beachhead
dfir-2025-09-08-blurring-the-lines-intrusion-shows-connection-with-three-major-ransomw,T1036,Masquerading,100,0,1,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Defense Evasion,masquerading
dfir-2025-09-08-blurring-the-lines-intrusion-shows-connection-with-three-major-ransomw,T1036.003,Rename Legitimate Utilities,100,0,1,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Persistence,ChromeAlt_dbg.exe
dfir-2025-09-08-blurring-the-lines-intrusion-shows-connection-with-three-major-ransomw,T1036.005,Match Legitimate Resource Name or Location,100,0,1,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Defense Evasion,mimicking Avast Antivirus
dfir-2025-09-08-blurring-the-lines-intrusion-shows-connection-with-three-major-ransomw,T1047,Windows Management Instrumentation,100,0,2,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Lateral Movement | Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > MITRE ATT&CK,WmiPrvSE.exe
dfir-2025-09-08-blurring-the-lines-intrusion-shows-connection-with-three-major-ransomw,T1048,Exfiltration Over Alternative Protocol,100,0,3,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Collection | Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Exfiltration,exfiltrating the staged files
dfir-2025-09-08-blurring-the-lines-intrusion-shows-connection-with-three-major-ransomw,T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,100,0,1,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Exfiltration,unencrypted FTP protocol
dfir-2025-09-08-blurring-the-lines-intrusion-shows-connection-with-three-major-ransomw,T1059.001,PowerShell,100,0,2,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Credential Access | Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Discovery,PowerShell’s script block logging feature
dfir-2025-09-08-blurring-the-lines-intrusion-shows-connection-with-three-major-ransomw,T1070.006,Timestomp,100,0,1,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Defense Evasion,timestomping activities
dfir-2025-09-08-blurring-the-lines-intrusion-shows-connection-with-three-major-ransomw,T1071,,100,0,0,,
