report,technique_id,technique_name,confidence,flagged,chunk_id,heading_path,evidence,reason
dfir-2025-09-29-from-a-single-click-how-lunar-spider-enabled-a-near-two-month-intrusio,T1189,Drive-by Compromise,100,0,b7362f43-1847-4a25-bc3d-69b050cebbe8:1,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Key Takeaways,disguised as a tax form,The intrusion began with a Lunar Spider linked JavaScript file disguised as a tax form.
dfir-2025-09-29-from-a-single-click-how-lunar-spider-enabled-a-near-two-month-intrusio,T1608.001,Upload Malware,100,0,b7362f43-1847-4a25-bc3d-69b050cebbe8:1,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Key Takeaways,downloaded and executed,Brute Ratel was downloaded and executed via an MSI installer.
dfir-2025-09-29-from-a-single-click-how-lunar-spider-enabled-a-near-two-month-intrusio,T1555.003,Credentials from Web Browsers,20,1,b7362f43-1847-4a25-bc3d-69b050cebbe8:1,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Key Takeaways,harvested from several sources,"Credentials were harvested from several sources like LSASS, backup software, and browsers."
dfir-2025-09-29-from-a-single-click-how-lunar-spider-enabled-a-near-two-month-intrusio,T1204.002,Malicious File,100,0,b7362f43-1847-4a25-bc3d-69b050cebbe8:1,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Key Takeaways,deployed across the intrusion,"Multiple types of malware were deployed across the intrusion, including Latrodectus, Brute Ratel C4, Cobalt Strike, BackConnect, and a custom .NET backdoor."
dfir-2025-09-29-from-a-single-click-how-lunar-spider-enabled-a-near-two-month-intrusio,T1041,Exfiltration Over C2 Channel,100,0,b7362f43-1847-4a25-bc3d-69b050cebbe8:1,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Key Takeaways,exfiltrated using Rclone,Twenty days into the intrusion data was exfiltrated using Rclone and FTP.
dfir-2025-09-29-from-a-single-click-how-lunar-spider-enabled-a-near-two-month-intrusio,T1204,User Execution,100,0,b7362f43-1847-4a25-bc3d-69b050cebbe8:3,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Case Summary,executed a malicious,The user executed a malicious JavaScript file.
dfir-2025-09-29-from-a-single-click-how-lunar-spider-enabled-a-near-two-month-intrusio,T1027,Obfuscated Files or Information,80,0,b7362f43-1847-4a25-bc3d-69b050cebbe8:3,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Case Summary,heavily obfuscated,The JavaScript file was heavily obfuscated for evasion.
dfir-2025-09-29-from-a-single-click-how-lunar-spider-enabled-a-near-two-month-intrusio,T1021.005,VNC,100,0,b7362f43-1847-4a25-bc3d-69b050cebbe8:4,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Case Summary,initiated VNC-based,The threat actor initiated VNC-based remote access capabilities.
dfir-2025-09-29-from-a-single-click-how-lunar-spider-enabled-a-near-two-month-intrusio,T1608.001,Upload Malware,80,0,b7362f43-1847-4a25-bc3d-69b050cebbe8:4,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Case Summary,retrieving a stealer,The Latrodectus payload was then observed retrieving a stealer module.
dfir-2025-09-29-from-a-single-click-how-lunar-spider-enabled-a-near-two-month-intrusio,T1078.002,Domain Accounts,100,0,b7362f43-1847-4a25-bc3d-69b050cebbe8:4,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Case Summary,plaintext domain administrator,The threat actor discovered and accessed an unattend.xml Windows Answer file containing plaintext domain administrator credentials.
