report,technique_id,technique_name,score,flagged,instances,sections,best_evidence
dfir-2025-09-29-from-a-single-click-how-lunar-spider-enabled-a-near-two-month-intrusio,T1018,Remote System Discovery,100,0,1,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Discovery,net view REDACTED
dfir-2025-09-29-from-a-single-click-how-lunar-spider-enabled-a-near-two-month-intrusio,T1021,Remote Services,100,1,2,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Lateral Movement,Remote Service
dfir-2025-09-29-from-a-single-click-how-lunar-spider-enabled-a-near-two-month-intrusio,T1021.001,Remote Desktop Protocol,100,1,5,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Case Summary | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Diamond Model Indicators | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Execution | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Lateral Movement,using RDP to access
dfir-2025-09-29-from-a-single-click-how-lunar-spider-enabled-a-near-two-month-intrusio,T1021.005,VNC,100,1,6,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Case Summary | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Detections | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Discovery | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Execution,initiated VNC-based
dfir-2025-09-29-from-a-single-click-how-lunar-spider-enabled-a-near-two-month-intrusio,T1021.006,Windows Remote Management,100,1,2,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Detections,ed74fe75-7594-4b4b-ae38-e38e3fd2eb23 : Outbound RDP Connections Over Non-Standard Tools
dfir-2025-09-29-from-a-single-click-how-lunar-spider-enabled-a-near-two-month-intrusio,T1036,,100,0,0,,
dfir-2025-09-29-from-a-single-click-how-lunar-spider-enabled-a-near-two-month-intrusio,T1036.012,Browser Fingerprint,100,0,1,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Diamond Model Indicators,Mozilla/5.0 (Windows NT 6.2; WOW64)
dfir-2025-09-29-from-a-single-click-how-lunar-spider-enabled-a-near-two-month-intrusio,T1037,,100,0,0,,
dfir-2025-09-29-from-a-single-click-how-lunar-spider-enabled-a-near-two-month-intrusio,T1037.004,RC Scripts,100,0,1,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Diamond Model Indicators,RC4
dfir-2025-09-29-from-a-single-click-how-lunar-spider-enabled-a-near-two-month-intrusio,T1041,Exfiltration Over C2 Channel,100,0,1,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Key Takeaways,exfiltrated using Rclone
dfir-2025-09-29-from-a-single-click-how-lunar-spider-enabled-a-near-two-month-intrusio,T1047,Windows Management Instrumentation,100,0,3,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Lateral Movement | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > MITRE ATT&CK,WMI Remoting
dfir-2025-09-29-from-a-single-click-how-lunar-spider-enabled-a-near-two-month-intrusio,T1048,Exfiltration Over Alternative Protocol,100,0,1,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Exfiltration,FTP traffic shows
dfir-2025-09-29-from-a-single-click-how-lunar-spider-enabled-a-near-two-month-intrusio,T1053,Scheduled Task/Job,100,0,1,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Execution,create a scheduled task
dfir-2025-09-29-from-a-single-click-how-lunar-spider-enabled-a-near-two-month-intrusio,T1053.005,Scheduled Task,100,0,2,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Execution | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Persistence,create a scheduled task
