report,technique_id,technique_name,confidence,flagged,chunk_id,heading_path,evidence,reason
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1105,Ingress Tool Transfer,20,1,77ff57c4-af42-4ed5-a0d3-5540a0e85f1a:0,Cat’s Got Your Files: Lynx Ransomware,Lynx Ransomware,"The report mentions 'ransomware', which is a type of tool transferred by adversaries."
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1021.001,Remote Desktop Protocol,80,0,77ff57c4-af42-4ed5-a0d3-5540a0e85f1a:1,Cat’s Got Your Files: Lynx Ransomware > Key Takeaways,successful RDP login,The excerpt states 'a successful RDP login using already-compromised credentials'
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1563.002,RDP Hijacking,20,1,77ff57c4-af42-4ed5-a0d3-5540a0e85f1a:1,Cat’s Got Your Files: Lynx Ransomware > Key Takeaways,moved laterally,The excerpt mentions 'the threat actor moved laterally to a domain controller using a separate compromised domain admin account'
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1039,Data from Network Shared Drive,20,1,77ff57c4-af42-4ed5-a0d3-5540a0e85f1a:1,Cat’s Got Your Files: Lynx Ransomware > Key Takeaways,mapped out virtualization,The excerpt states 'mapped out virtualization infrastructure and file shares'
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1484.002,Trust Modification,20,1,77ff57c4-af42-4ed5-a0d3-5540a0e85f1a:1,Cat’s Got Your Files: Lynx Ransomware > Key Takeaways,added them to privileged,"The excerpt mentions 'created multiple impersonation-style accounts, and added them to privileged groups'"
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1021.001,Remote Desktop Protocol,20,1,77ff57c4-af42-4ed5-a0d3-5540a0e85f1a:3,Cat’s Got Your Files: Lynx Ransomware > Case Summary,logged in,The threat actor used valid credentials to log into RDP.
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1078,Valid Accounts,80,0,77ff57c4-af42-4ed5-a0d3-5540a0e85f1a:3,Cat’s Got Your Files: Lynx Ransomware > Case Summary,valid credentials,The threat actor likely possessed valid credentials before the activity occurred.
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1021.001,Remote Desktop Protocol,80,0,77ff57c4-af42-4ed5-a0d3-5540a0e85f1a:4,Cat’s Got Your Files: Lynx Ransomware > Case Summary,moved laterally via RDP,The threat actor used RDP to move laterally.
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1078,Valid Accounts,90,0,77ff57c4-af42-4ed5-a0d3-5540a0e85f1a:4,Cat’s Got Your Files: Lynx Ransomware > Case Summary,authenticated using a different account,The threat actor authenticated using a different account with domain administrator privileges.
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1563.002,RDP Hijacking,80,0,77ff57c4-af42-4ed5-a0d3-5540a0e85f1a:4,Cat’s Got Your Files: Lynx Ransomware > Case Summary,moved laterally via RDP,The threat actor moved laterally via RDP.
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1078.002,Domain Accounts,90,0,77ff57c4-af42-4ed5-a0d3-5540a0e85f1a:4,Cat’s Got Your Files: Lynx Ransomware > Case Summary,authenticated using a different account,The threat actor authenticated using a different account with domain administrator privileges.
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1021.001,Remote Desktop Protocol,100,0,77ff57c4-af42-4ed5-a0d3-5540a0e85f1a:5,Cat’s Got Your Files: Lynx Ransomware > Case Summary,moved laterally to it via RDP,The threat actor used RDP to move laterally.
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1078,Valid Accounts,80,0,77ff57c4-af42-4ed5-a0d3-5540a0e85f1a:5,Cat’s Got Your Files: Lynx Ransomware > Case Summary,authenticated using a different account,The threat actor authenticated using a different account with domain administrator privileges.
