report,technique_id,technique_name,score,flagged,instances,sections,best_evidence
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1018,Remote System Discovery,100,0,2,Cat’s Got Your Files: Lynx Ransomware > Discovery | Cat’s Got Your Files: Lynx Ransomware > Discovery > Netscan,ping ​REDACTED
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1021.001,Remote Desktop Protocol,100,1,21,Cat’s Got Your Files: Lynx Ransomware > Case Summary | Cat’s Got Your Files: Lynx Ransomware > Command and Control | Cat’s Got Your Files: Lynx Ransomware > Detections | Cat’s Got Your Files: Lynx Ransomware > Discovery > Netscan,moved laterally to it via RDP
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1021.002,SMB/Windows Admin Shares,100,0,3,Cat’s Got Your Files: Lynx Ransomware > Detections | Cat’s Got Your Files: Lynx Ransomware > Discovery > Netscan,External Remote SMB Logon
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1027,,100,0,0,,
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1027.015,Compression,100,0,2,Cat’s Got Your Files: Lynx Ransomware > Case Summary | Cat’s Got Your Files: Lynx Ransomware > Collection,compressed the contents
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1049,System Network Connections Discovery,100,1,6,Cat’s Got Your Files: Lynx Ransomware > Case Summary | Cat’s Got Your Files: Lynx Ransomware > Discovery > Netscan,discovery commands
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1057,Process Discovery,100,1,3,Cat’s Got Your Files: Lynx Ransomware > Discovery | Cat’s Got Your Files: Lynx Ransomware > Discovery > Netscan,Systeminfo
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1071,,100,0,0,,
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1071.001,Web Protocols,100,0,1,Cat’s Got Your Files: Lynx Ransomware > Discovery > Netscan,netscan.exe
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1078,Valid Accounts,100,0,6,Cat’s Got Your Files: Lynx Ransomware > Case Summary | Cat’s Got Your Files: Lynx Ransomware > Credential Access | Cat’s Got Your Files: Lynx Ransomware > Initial Access | Cat’s Got Your Files: Lynx Ransomware > Lateral Movement,valid credentials
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1078.001,Default Accounts,100,1,2,Cat’s Got Your Files: Lynx Ransomware > Lateral Movement | Cat’s Got Your Files: Lynx Ransomware > Persistence,Domain Admin credentials
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1098,,100,0,0,,
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1098.007,Additional Local or Domain Groups,100,1,5,Cat’s Got Your Files: Lynx Ransomware > Case Summary | Cat’s Got Your Files: Lynx Ransomware > Detections | Cat’s Got Your Files: Lynx Ransomware > Privilege Escalation,added them to several high-privilege domain groups
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1105,Ingress Tool Transfer,100,1,5,Cat’s Got Your Files: Lynx Ransomware | Cat’s Got Your Files: Lynx Ransomware > Case Summary | Cat’s Got Your Files: Lynx Ransomware > Computed | Cat’s Got Your Files: Lynx Ransomware > Discovery > Netscan,downloaded NetExec
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1218.014,MMC,100,0,3,Cat’s Got Your Files: Lynx Ransomware > Case Summary | Cat’s Got Your Files: Lynx Ransomware > Discovery > Netscan,dsa.msc
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1484.001,Group Policy Modification,100,0,1,Cat’s Got Your Files: Lynx Ransomware > Privilege Escalation,Group Policy Creator Owners
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1486,Data Encrypted for Impact,100,0,1,Cat’s Got Your Files: Lynx Ransomware > Case Summary,deployed and executed Lynx ransomware
