report,technique_id,technique_name,confidence,flagged,chunk_id,heading_path,evidence,reason
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1608.006,SEO Poisoning,100,0,fc1e9386-9482-41e9-ac47-655fdef20c0d:1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Key Takeaways,SEO poisoning,The excerpt explicitly mentions 'SEO poisoning' as a method used by BumbleBee malware.
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1021.004,SSH,80,0,fc1e9386-9482-41e9-ac47-655fdef20c0d:1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Key Takeaways,established an SSH proxy,The excerpt describes the threat actor establishing an SSH proxy for lateral movement and data exfiltration.
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1608.001,Upload Malware,100,0,fc1e9386-9482-41e9-ac47-655fdef20c0d:1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Key Takeaways,trojanized installer,The excerpt states that BumbleBee malware was deployed via a trojanized installer for ManageEngine OpManager.
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1021.001,Remote Desktop Protocol,80,0,fc1e9386-9482-41e9-ac47-655fdef20c0d:2,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Case Summary,using RDP to pivot,The excerpt describes using RDP to pivot to a domain controller.
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1021.001,Remote Desktop Protocol,80,0,fc1e9386-9482-41e9-ac47-655fdef20c0d:3,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Case Summary,RDP clipboard,The excerpt mentions using RDP clipboard to introduce FileZilla.
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1003.003,NTDS,90,0,fc1e9386-9482-41e9-ac47-655fdef20c0d:3,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Case Summary,extract the NTDS.dit,The excerpt explicitly states extracting the NTDS.dit Active Directory database.
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1003.001,LSASS Memory,80,0,fc1e9386-9482-41e9-ac47-655fdef20c0d:3,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Case Summary,dump LSASS memory,The excerpt mentions using lsassy to dump LSASS memory.
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1572,Protocol Tunneling,90,0,fc1e9386-9482-41e9-ac47-655fdef20c0d:3,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Case Summary,reverse SSH tunnel,The excerpt describes a reverse SSH tunnel for proxying RDP traffic.
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1078.001,Default Accounts,80,0,fc1e9386-9482-41e9-ac47-655fdef20c0d:3,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Case Summary,dump and decrypt Veeam,The excerpt mentions using Veeam credentials via DPAPI.
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1021.001,Remote Desktop Protocol,80,0,fc1e9386-9482-41e9-ac47-655fdef20c0d:4,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Case Summary,RDP clipboard,The excerpt mentions RDP clipboard being used to introduce FileZilla.
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1020,Automated Exfiltration,60,0,fc1e9386-9482-41e9-ac47-655fdef20c0d:4,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Case Summary,FileZilla,The excerpt describes data exfiltration through FileZilla.
