report,technique_id,technique_name,score,flagged,instances,sections,best_evidence
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1003.003,NTDS,100,0,3,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Case Summary | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Credential Access | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Discovery,extracting the Active Directory database <mark>(</mark> <mark>`ntds.dit`</mark>
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1018,Remote System Discovery,100,0,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Execution,Host/User Discovery
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1021.001,Remote Desktop Protocol,100,1,15,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Case Summary | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Credential Access | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Discovery | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Exfiltration,used RDP
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1021.003,Distributed Component Object Model,100,0,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Credential Access > Remote LSASS Memory Dump,Executes via DCOM
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1021.004,SSH,100,1,8,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Command and Control | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Diamond Model Indicators > Atomic | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Exfiltration | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Key Takeaways,ssh root@193.242.184[.]150
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1027,,100,0,0,,
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1027.010,Command Obfuscation,100,0,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Defense Evasion,command-line obfuscation
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1041,Exfiltration Over C2 Channel,100,0,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Execution,outbound connection
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1047,Windows Management Instrumentation,100,0,9,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Credential Access > Remote LSASS Memory Dump | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Defense Evasion | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Detections > Sigma | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Impact,using WMI
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1048,Exfiltration Over Alternative Protocol,100,0,2,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Exfiltration,SSH Exfiltration Sessions
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1055,Process Injection,100,0,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Defense Evasion,process injection
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1055.001,Dynamic-link Library Injection,100,0,2,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Defense Evasion,inject the Adaptix shellcode
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1057,Process Discovery,100,1,2,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Detections > Sigma | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Discovery,0ef56343-059e-4cb6-adc1-4c3c967c5e46 : Suspicious Execution of Systeminfo
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1059,,100,0,0,,
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1059.001,PowerShell,100,1,4,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Collection | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Credential Access | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Defense Evasion | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Detections > Sigma,PowerShell Base64 Encoded FromBase64String
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1078,Valid Accounts,100,0,3,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Credential Access | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Lateral Movement,high-privilege <mark>`backup_EA`</mark> account
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1110,,100,0,0,,
